accession	layout	r1_url	r2_url	biosample	read_count	stratum
ERR017219	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017219/ERR017219_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017219/ERR017219_2.fastq.gz	SAMEA734743	1642687	r
ERR017223	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017223/ERR017223_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017223/ERR017223_2.fastq.gz	SAMEA734739	942645	s
ERR017225	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017225/ERR017225_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017225/ERR017225_2.fastq.gz	SAMEA734780	1795431	r
ERR017226	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017226/ERR017226_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017226/ERR017226_2.fastq.gz	SAMEA734777	1581825	r
ERR017231	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017231/ERR017231_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017231/ERR017231_2.fastq.gz	SAMEA734768	695605	s
ERR017232	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017232/ERR017232_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017232/ERR017232_2.fastq.gz	SAMEA734767	888576	r
ERR017241	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017241/ERR017241_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017241/ERR017241_2.fastq.gz	SAMEA734765	979703	r
ERR017243	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017243/ERR017243_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017243/ERR017243_2.fastq.gz	SAMEA734782	839642	r
ERR017244	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017244/ERR017244_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017244/ERR017244_2.fastq.gz	SAMEA734783	776410	r
ERR017245	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017245/ERR017245_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017245/ERR017245_2.fastq.gz	SAMEA734784	827775	r
ERR017247	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017247/ERR017247_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017247/ERR017247_2.fastq.gz	SAMEA734786	1801309	r
ERR017249	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017249/ERR017249_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017249/ERR017249_2.fastq.gz	SAMEA734788	5028109	r
ERR017250	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017250/ERR017250_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017250/ERR017250_2.fastq.gz	SAMEA734770	1204476	r
ERR017253	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017253/ERR017253_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017253/ERR017253_2.fastq.gz	SAMEA734781	4525482	r
ERR017260	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017260/ERR017260_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017260/ERR017260_2.fastq.gz	SAMEA734688	1734448	s
