accession	layout	r1_url	r2_url
ERR1217450	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/000/ERR1217450/ERR1217450_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/000/ERR1217450/ERR1217450_2.fastq.gz
ERR1217451	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/001/ERR1217451/ERR1217451_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/001/ERR1217451/ERR1217451_2.fastq.gz
ERR1217452	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/002/ERR1217452/ERR1217452_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/002/ERR1217452/ERR1217452_2.fastq.gz
ERR1217454	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/004/ERR1217454/ERR1217454_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/004/ERR1217454/ERR1217454_2.fastq.gz
ERR1217456	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1217456/ERR1217456_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1217456/ERR1217456_2.fastq.gz
ERR1217458	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1217458/ERR1217458_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1217458/ERR1217458_2.fastq.gz
ERR1217460	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/000/ERR1217460/ERR1217460_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/000/ERR1217460/ERR1217460_2.fastq.gz
ERR1217466	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1217466/ERR1217466_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1217466/ERR1217466_2.fastq.gz
ERR1217476	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1217476/ERR1217476_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1217476/ERR1217476_2.fastq.gz
ERR1217477	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1217477/ERR1217477_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1217477/ERR1217477_2.fastq.gz
ERR1217479	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/009/ERR1217479/ERR1217479_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/009/ERR1217479/ERR1217479_2.fastq.gz
ERR1217481	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/001/ERR1217481/ERR1217481_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/001/ERR1217481/ERR1217481_2.fastq.gz
ERR1217483	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/003/ERR1217483/ERR1217483_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/003/ERR1217483/ERR1217483_2.fastq.gz
ERR1218565	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/005/ERR1218565/ERR1218565_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/005/ERR1218565/ERR1218565_2.fastq.gz
ERR1218566	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1218566/ERR1218566_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1218566/ERR1218566_2.fastq.gz
ERR1218567	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1218567/ERR1218567_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1218567/ERR1218567_2.fastq.gz
ERR1218569	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/009/ERR1218569/ERR1218569_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/009/ERR1218569/ERR1218569_2.fastq.gz
ERR1218573	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/003/ERR1218573/ERR1218573_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/003/ERR1218573/ERR1218573_2.fastq.gz
ERR1218574	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/004/ERR1218574/ERR1218574_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/004/ERR1218574/ERR1218574_2.fastq.gz
ERR1218575	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/005/ERR1218575/ERR1218575_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/005/ERR1218575/ERR1218575_2.fastq.gz
