sample_id	Species	ST	sample_accession
ERR1616432	Klebsiella pneumoniae	ST770	SAMEA4427399
ERR1616433	Klebsiella pneumoniae	ST221-1LV	SAMEA4427400
ERR1616434	Klebsiella pneumoniae	ST485	SAMEA4427401
ERR1616435	Klebsiella pneumoniae	ST485	SAMEA4427402
ERR1616436	Klebsiella pneumoniae	ST15	SAMEA4427403
ERR1616437	Klebsiella pneumoniae	ST37	SAMEA4427404
ERR1616438	Klebsiella pneumoniae	ST48	SAMEA4427405
ERR1616439	Klebsiella pneumoniae	ST48	SAMEA4427406
ERR1616440	Klebsiella pneumoniae	ST1427	SAMEA4427407
ERR1616441	Klebsiella pneumoniae	ST252	SAMEA4427408
ERR1616442	Klebsiella pneumoniae	ST252	SAMEA4427409
ERR1616443	Klebsiella pneumoniae	ST252	SAMEA4427410
ERR1616444	Klebsiella pneumoniae	ST896	SAMEA4427411
ERR1616445	Klebsiella pneumoniae	ST359	SAMEA4427412
ERR1616446	Klebsiella pneumoniae	ST132-1LV	SAMEA4427413
ERR1616447	Klebsiella pneumoniae	ST15	SAMEA4427414
ERR1616448	Klebsiella pneumoniae	ST15	SAMEA4427415
ERR1616449	Klebsiella pneumoniae	ST307	SAMEA4427416
ERR1616450	Klebsiella pneumoniae	ST307	SAMEA4427417
