sample_id	Species	ST	sample_accession
ERR1795992	Klebsiella pneumoniae	ST1999	SAMEA4362649
ERR1795993	Klebsiella pneumoniae	ST1999	SAMEA4362650
ERR1795994	Klebsiella pneumoniae	ST1999	SAMEA4362651
ERR1795995	Klebsiella pneumoniae	ST54	SAMEA4362652
ERR1795996	Klebsiella pneumoniae	ST54	SAMEA4362653
ERR1795997	Klebsiella pneumoniae	ST54	SAMEA4362654
ERR1795998	Klebsiella pneumoniae	ST661	SAMEA4362655
ERR1795999	Klebsiella pneumoniae	ST1189	SAMEA4362656
ERR1796000	Klebsiella pneumoniae	ST1189	SAMEA4362657
ERR1796001	Klebsiella quasipneumoniae	ST3019	SAMEA4362658
ERR1796002	Klebsiella quasipneumoniae	ST3019	SAMEA4362659
ERR1796003	Klebsiella quasipneumoniae	ST3019	SAMEA4362660
ERR1796004	Klebsiella quasipneumoniae	ST3019	SAMEA4362661
ERR1796005	Klebsiella quasipneumoniae	ST3019	SAMEA4362662
ERR1796006	Klebsiella pneumoniae	ST3020	SAMEA4362663
ERR1796007	Klebsiella pneumoniae	ST37	SAMEA4362664
ERR1796008	Klebsiella pneumoniae	ST37	SAMEA4362665
ERR1796009	Klebsiella pneumoniae	ST1999	SAMEA4362666
ERR1796010	Klebsiella pneumoniae	ST1999	SAMEA4362667
ERR1796011	Klebsiella pneumoniae	ST20	SAMEA4362668
ERR1796012	Klebsiella pneumoniae	ST307	SAMEA4362669
ERR1796013	Klebsiella pneumoniae	ST307	SAMEA4362670
ERR1796014	Klebsiella pneumoniae	ST307	SAMEA4362671
ERR1796015	Klebsiella pneumoniae	ST6	SAMEA4362672
ERR1796016	Klebsiella pneumoniae	ST3020	SAMEA4362673
ERR1796017	Klebsiella pneumoniae	ST3020	SAMEA4362674
ERR1796018	Klebsiella pneumoniae	ST3020	SAMEA4362675
ERR1796019	Klebsiella pneumoniae	ST3020	SAMEA4362676
ERR1796020	Klebsiella pneumoniae	ST1518	SAMEA4362677
ERR1796021	Klebsiella variicola	ST360	SAMEA4362678
ERR1796022	Klebsiella pneumoniae	ST23	SAMEA4362679
ERR1796024	Klebsiella pneumoniae	ST23	SAMEA4362681
ERR1796025	Klebsiella pneumoniae	ST23	SAMEA4362682
ERR1796026	Klebsiella pneumoniae	ST23	SAMEA4362683
ERR1796027	Klebsiella pneumoniae	ST23	SAMEA4362684
ERR1796028	Klebsiella pneumoniae	ST23	SAMEA4362685
ERR1796029	Klebsiella pneumoniae	ST23	SAMEA4362686
ERR1796030	Klebsiella pneumoniae	ST23	SAMEA4362687
ERR1796031	Klebsiella pneumoniae	ST23	SAMEA4362688
ERR1796032	Klebsiella pneumoniae	ST23	SAMEA4362689
ERR1796033	Klebsiella pneumoniae	ST23	SAMEA4362690
ERR1796034	Klebsiella variicola	ST596	SAMEA4362691
ERR1796035	Klebsiella pneumoniae		SAMEA4362692
ERR1796036	Klebsiella variicola	ST3015	SAMEA4362693
ERR1796037	Klebsiella variicola	ST3015	SAMEA4362694
ERR1796038	Klebsiella pneumoniae	ST1999	SAMEA4362695
ERR1796039	Klebsiella pneumoniae	ST6	SAMEA4362696
