accession	layout	r1_url	r2_url	biosample	read_count	stratum
DRR148268	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148268/DRR148268_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148268/DRR148268_2.fastq.gz	SAMD00126505	1095652	u
DRR148274	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148274/DRR148274_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148274/DRR148274_2.fastq.gz	SAMD00126511	1173104	u
DRR148297	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148297/DRR148297_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148297/DRR148297_2.fastq.gz	SAMD00126534	1044339	u
DRR148303	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148303/DRR148303_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148303/DRR148303_2.fastq.gz	SAMD00126540	696477	u
DRR148325	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148325/DRR148325_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148325/DRR148325_2.fastq.gz	SAMD00126562	492610	u
DRR148329	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148329/DRR148329_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148329/DRR148329_2.fastq.gz	SAMD00126566	796135	u
DRR148334	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148334/DRR148334_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148334/DRR148334_2.fastq.gz	SAMD00126571	748424	u
DRR148336	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148336/DRR148336_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148336/DRR148336_2.fastq.gz	SAMD00126573	1183255	u
DRR148347	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148347/DRR148347_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148347/DRR148347_2.fastq.gz	SAMD00126584	745981	u
DRR148353	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148353/DRR148353_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148353/DRR148353_2.fastq.gz	SAMD00126590	1011817	u
DRR148354	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148354/DRR148354_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148354/DRR148354_2.fastq.gz	SAMD00126591	1100609	u
DRR148355	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148355/DRR148355_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148355/DRR148355_2.fastq.gz	SAMD00126592	674871	u
DRR148358	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148358/DRR148358_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148358/DRR148358_2.fastq.gz	SAMD00126595	592918	u
DRR148360	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148360/DRR148360_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148360/DRR148360_2.fastq.gz	SAMD00126597	1089488	u
DRR148362	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148362/DRR148362_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148362/DRR148362_2.fastq.gz	SAMD00126599	867405	u
DRR148363	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148363/DRR148363_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148363/DRR148363_2.fastq.gz	SAMD00126600	1049404	u
DRR148367	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148367/DRR148367_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148367/DRR148367_2.fastq.gz	SAMD00126604	1196720	u
DRR385906	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR385/DRR385906/DRR385906_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR385/DRR385906/DRR385906_2.fastq.gz	SAMD00497402	1263032	u
DRR385957	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR385/DRR385957/DRR385957_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR385/DRR385957/DRR385957_2.fastq.gz	SAMD00497453	1275336	u
DRR385966	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR385/DRR385966/DRR385966_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR385/DRR385966/DRR385966_2.fastq.gz	SAMD00497462	780444	u
DRR385972	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR385/DRR385972/DRR385972_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR385/DRR385972/DRR385972_2.fastq.gz	SAMD00497468	1195962	u
DRR385973	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR385/DRR385973/DRR385973_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR385/DRR385973/DRR385973_2.fastq.gz	SAMD00497469	1807541	u
DRR385992	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR385/DRR385992/DRR385992_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR385/DRR385992/DRR385992_2.fastq.gz	SAMD00497488	990189	u
DRR386014	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386014/DRR386014_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386014/DRR386014_2.fastq.gz	SAMD00497510	1343568	u
DRR386018	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386018/DRR386018_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386018/DRR386018_2.fastq.gz	SAMD00497514	1216280	u
DRR386030	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386030/DRR386030_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386030/DRR386030_2.fastq.gz	SAMD00497526	1003386	u
DRR386034	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386034/DRR386034_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386034/DRR386034_2.fastq.gz	SAMD00497530	1162192	u
DRR386038	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386038/DRR386038_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386038/DRR386038_2.fastq.gz	SAMD00497534	945048	u
