accession	biosample	secondary_sample	read_count
ERR197594	SAMEA1569531	ERS146397	2484802
ERR197595	SAMEA1569393	ERS146519	2763488
ERR197596	SAMEA1569486	ERS146075	2841731
ERR197597	SAMEA1569469	ERS146229	1123887
ERR197598	SAMEA1569480	ERS146331	2293280
ERR197599	SAMEA1569529	ERS146078	2301429
ERR197601	SAMEA1569555	ERS146232	2174429
ERR197605	SAMEA1569403	ERS146084	1976835
ERR197610	SAMEA1569416	ERS146238	1515713
ERR197612	SAMEA1569444	ERS146337	1696278
ERR197613	SAMEA1569447	ERS146403	2423283
ERR197614	SAMEA1569547	ERS146093	1859119
ERR197618	SAMEA1569404	ERS146340	2018112
ERR197619	SAMEA1569401	ERS146244	1956644
ERR197620	SAMEA1569419	ERS146099	2118703
ERR197621	SAMEA1569540	ERS146562	2497138
ERR197622	SAMEA1569463	ERS146406	1507315
ERR197623	SAMEA1569388	ERS146102	2182876
ERR197624	SAMEA1569552	ERS146247	2880309
ERR197626	SAMEA1569453	ERS146105	2692255
ERR197628	SAMEA1569502	ERS146250	2358337
ERR197629	SAMEA1569426	ERS146108	2784582
ERR197630	SAMEA1569518	ERS146450	2921831
ERR197631	SAMEA1569479	ERS146346	1819775
ERR197633	SAMEA1569452	ERS146253	2362894
ERR197635	SAMEA1569497	ERS146114	1535204
ERR197636	SAMEA1569532	ERS146508	2243091
ERR197637	SAMEA1569431	ERS146256	1805836
ERR197638	SAMEA1569432	ERS146117	1620960
ERR197639	SAMEA1569512	ERS146349	1896085
ERR197640	SAMEA1569435	ERS146497	1763661
ERR197642	SAMEA1569398	ERS146259	2339034
ERR197643	SAMEA1569515	ERS146412	2005441
ERR197644	SAMEA1569392	ERS146123	1948208
ERR197645	SAMEA1569492	ERS146352	1966506
ERR197646	SAMEA1569521	ERS146262	2042056
ERR249218	SAMEA1709749	ERS192746	2680384
ERR249288	SAMEA1709744	ERS192816	2624491
ERR249292	SAMEA1709886	ERS192820	2017668
ERR249294	SAMEA1709848	ERS192822	2465103
ERR249297	SAMEA1709843	ERS192825	3451872
ERR263722	SAMEA1876492	ERS192868	1468906
ERR263723	SAMEA1876495	ERS192869	2427048
ERR263724	SAMEA1876509	ERS192870	1995422
ERR263725	SAMEA1876507	ERS192871	2434852
ERR263726	SAMEA1876506	ERS192872	1988731
ERR263727	SAMEA1876505	ERS192873	2607269
ERR263728	SAMEA1876503	ERS192874	1536437
ERR2931003	SAMEA5131855	ERS2916231	2002022
ERR2931007	SAMEA5131845	ERS2916221	2868492
ERR2931012	SAMEA5131846	ERS2916222	5786500
ERR2931015	SAMEA5131847	ERS2916223	1357915
ERR2931019	SAMEA5131848	ERS2916224	1574372
ERR2931020	SAMEA5131849	ERS2916225	1871423
ERR2931023	SAMEA5131850	ERS2916226	795460
ERR2931026	SAMEA5131851	ERS2916227	2341397
ERR2931027	SAMEA5131852	ERS2916228	879927
ERR2931030	SAMEA5131853	ERS2916229	1378159
ERR2931031	SAMEA5131854	ERS2916230	2068724
ERR3938696	SAMEA6574530	ERS4338856	8168971
SRR10094349	SAMN10249077	SRS5369504	918327
SRR10094360	SAMN10249113	SRS5369493	2097770
SRR10094363	SAMN10249026	SRS5369490	1748461
SRR10094364	SAMN10249084	SRS5369489	2337925
SRR10094365	SAMN10249063	SRS5369488	496283
SRR10094366	SAMN10249115	SRS5369487	1749969
SRR10094367	SAMN10248960	SRS5369486	1233674
SRR10094368	SAMN10249032	SRS5369485	1276162
SRR10094369	SAMN10249073	SRS5369484	1275946
SRR10094370	SAMN10248978	SRS5369483	3246508
SRR10094371	SAMN10248940	SRS5369482	2267475
SRR10094372	SAMN10249041	SRS5369481	3942922
SRR10094373	SAMN10249078	SRS5369480	3215315
SRR10094374	SAMN10249127	SRS5369479	3227935
SRR10094375	SAMN10248955	SRS5369478	2292046
SRR10094376	SAMN10249061	SRS5369477	2503825
SRR10094377	SAMN10249089	SRS5369476	2270559
SRR10094378	SAMN10248937	SRS5369475	1612797
SRR10094379	SAMN10249177	SRS5369474	1838629
SRR10094380	SAMN10249024	SRS5369473	1239248
SRR10094381	SAMN10249068	SRS5369472	1519561
SRR10094382	SAMN10249186	SRS5369471	1271382
SRR10094383	SAMN10249163	SRS5369470	2037681
SRR10094386	SAMN10248996	SRS5369467	1094938
SRR10094397	SAMN10249217	SRS5369456	1255539
SRR10094408	SAMN10249121	SRS5369445	2590001
SRR10094409	SAMN10248989	SRS5369413	340880
SRR10094410	SAMN10248939	SRS5369444	2799877
SRR10094411	SAMN10249029	SRS5369443	3186347
SRR10094412	SAMN10249093	SRS5369442	2961452
SRR10094413	SAMN10249057	SRS5369441	3115630
SRR10094414	SAMN10249010	SRS5369440	2361106
SRR10094415	SAMN10249149	SRS5369439	2427827
SRR10094416	SAMN10248941	SRS5369438	3278668
SRR10094417	SAMN10248957	SRS5369437	3011699
SRR10094418	SAMN10249083	SRS5369436	2881029
SRR10094419	SAMN10249147	SRS5369435	3228271
SRR10094420	SAMN10248986	SRS5369434	2308215
SRR10094421	SAMN10248990	SRS5369433	3207609
SRR10094422	SAMN10249021	SRS5369432	1893658
SRR10094423	SAMN10249060	SRS5369431	3474146
SRR10094424	SAMN10249116	SRS5369430	1903367
SRR10094425	SAMN10249046	SRS5369429	1997943
SRR10094426	SAMN10249015	SRS5369428	2083073
SRR10094427	SAMN10249074	SRS5369427	1256620
SRR10094428	SAMN10249102	SRS5369426	1124195
SRR10094429	SAMN10248992	SRS5369425	1898627
SRR10094430	SAMN10249027	SRS5369424	1239929
SRR10094431	SAMN10249064	SRS5369423	1397522
SRR10094432	SAMN10249126	SRS5369422	2367172
SRR10094433	SAMN10249214	SRS5369421	1799422
SRR10094434	SAMN10249016	SRS5369420	1806933
SRR10094435	SAMN10249052	SRS5369419	1432087
SRR10094436	SAMN10249097	SRS5369418	324087
SRR10094437	SAMN10249114	SRS5369417	2213319
SRR10094438	SAMN10248970	SRS5369416	2550710
SRR10094439	SAMN10249162	SRS5369415	1084024
SRR10094440	SAMN10249022	SRS5369414	1697514
SRR10094451	SAMN10249204	SRS5369402	986343
SRR10094462	SAMN10249037	SRS5369391	1147419
SRR10094473	SAMN10249085	SRS5369380	1242392
SRR10094484	SAMN10249101	SRS5369369	1189592
SRR10094495	SAMN10248964	SRS5369358	1292018
SRR10094506	SAMN10249210	SRS5369347	88661
SRR10094517	SAMN10249004	SRS5369336	1068501
SRR10094518	SAMN10249002	SRS5369335	574534
SRR10094529	SAMN10249072	SRS5369324	1868591
SRR10094540	SAMN10249105	SRS5369313	828697
SRR10094551	SAMN10248953	SRS5369302	1117553
SRR10094562	SAMN10249200	SRS5369291	361765
SRR10094573	SAMN10249066	SRS5369280	663214
SRR10094584	SAMN10249195	SRS5369269	857772
SRR10094595	SAMN10248975	SRS5369258	1118515
SRR10094606	SAMN10249137	SRS5369247	1138205
SRR10094617	SAMN10249181	SRS5369236	1079755
SRR10094628	SAMN10249035	SRS5369225	1273377
SRR10094629	SAMN10249086	SRS5369224	2435215
SRR10094630	SAMN10249109	SRS5369223	8955353
SRR10383457	SAMN13176256	SRS5599226	5429488
SRR11049245	SAMN14072392	SRS6123597	3680602
SRR11176973	SAMN12769618	SRS6212945	7618542
SRR13302058	SAMN11953941	SRS7923817	850851
SRR13302059	SAMN11953942	SRS7923816	865825
SRR16951843	SAMN14072391	SRS6123596	4996001
SRR16951844	SAMN14072390	SRS6123595	5455011
SRR16951845	SAMN14072389	SRS6123594	4967627
SRR16951846	SAMN14072388	SRS6123593	4509328
SRR1819769	SAMN03268801	SRS798793	4784801
SRR1819771	SAMN03268796	SRS798794	3187992
SRR1819785	SAMN03268809	SRS798802	4117572
SRR1819792	SAMN03268807	SRS798804	5065752
SRR1819797	SAMN03277095	SRS815456	13956909
SRR1819798	SAMN03277097	SRS815457	15347324
SRR1819799	SAMN03277099	SRS815458	13059310
SRR1819800	SAMN03277092	SRS815459	14722075
SRR1819801	SAMN03277100	SRS815460	16065174
SRR1819803	SAMN03277098	SRS815462	19957085
SRR1819804	SAMN03277103	SRS815463	15997660
SRR1819805	SAMN03277104	SRS815464	15793957
SRR1819807	SAMN03277094	SRS815465	15573926
SRR1819808	SAMN03277093	SRS815466	16357135
SRR1819809	SAMN03277096	SRS815468	15421608
SRR2075860	SAMN03571960	SRS925054	260657
SRR2075876	SAMN03575971	SRS926091	459822
SRR2075877	SAMN03575972	SRS926093	441086
SRR2075878	SAMN03575974	SRS927389	327968
SRR2075879	SAMN03576356	SRS927390	231849
SRR2075880	SAMN03576358	SRS927391	233802
SRR2075881	SAMN03576359	SRS927392	168989
SRR2075882	SAMN03576361	SRS927393	324791
SRR2075883	SAMN03576362	SRS927394	297879
SRR2075884	SAMN03576363	SRS927395	329290
SRR2075885	SAMN03576364	SRS927396	408754
SRR2075887	SAMN03576365	SRS927397	389776
SRR2075890	SAMN03576366	SRS927398	204224
SRR2075891	SAMN03576441	SRS927401	141485
SRR2075893	SAMN03576442	SRS927399	325138
SRR2075895	SAMN03576445	SRS927400	261760
SRR2075896	SAMN03576446	SRS927402	325385
SRR2075897	SAMN03576448	SRS927403	303383
SRR2075898	SAMN03576449	SRS927404	533158
SRR2075899	SAMN03576505	SRS927405	417994
SRR2075900	SAMN03576511	SRS927406	531633
SRR2075902	SAMN03576512	SRS927407	150373
SRR2075903	SAMN03577725	SRS927408	187353
SRR2075906	SAMN03577726	SRS927409	289460
SRR2075907	SAMN03577727	SRS927410	388948
SRR2075948	SAMN03577728	SRS927411	323388
SRR2075950	SAMN03577729	SRS927412	542939
SRR2075951	SAMN03577730	SRS979539	497318
SRR22159793	SAMN29928039	SRS15640392	1260027
SRR23106203	SAMN32778013	SRS16473700	1005963
SRR23106229	SAMN32777989	SRS16473674	484445
SRR23106230	SAMN32777988	SRS16473673	321128
SRR23106234	SAMN32777985	SRS16473669	1183583
SRR23106238	SAMN32777981	SRS16473665	289265
SRR23106245	SAMN32777975	SRS16473658	396418
SRR23106247	SAMN32777973	SRS16473657	384056
SRR23106308	SAMN32778066	SRS16473595	362781
SRR23106310	SAMN32778065	SRS16473593	453895
SRR23106313	SAMN32778062	SRS16473590	370677
SRR23106314	SAMN32778061	SRS16473589	417042
SRR23106317	SAMN32778058	SRS16473585	403768
SRR23106322	SAMN32778054	SRS16473581	464393
SRR23106324	SAMN32778052	SRS16473579	415626
SRR23106325	SAMN32778051	SRS16473578	431269
SRR23106330	SAMN32778046	SRS16473573	436492
SRR23106331	SAMN32777938	SRS16473572	521457
SRR23106346	SAMN32777958	SRS16473557	431666
SRR23106351	SAMN32777954	SRS16473552	423277
SRR23106353	SAMN32777952	SRS16473550	312485
SRR23106360	SAMN32778085	SRS16473543	464255
SRR23106361	SAMN32778084	SRS16473542	361880
SRR23106362	SAMN32778083	SRS16473541	514259
SRR23106363	SAMN32778082	SRS16473540	599552
SRR23106364	SAMN32778081	SRS16473539	470549
SRR23106365	SAMN32778080	SRS16473538	559265
SRR23106366	SAMN32778079	SRS16473537	494497
SRR23106367	SAMN32778078	SRS16473536	406297
SRR23106368	SAMN32778077	SRS16473535	529403
SRR23106369	SAMN32778076	SRS16473534	461575
SRR23106371	SAMN32778075	SRS16473532	434740
SRR23106372	SAMN32778074	SRS16473531	445655
SRR23106373	SAMN32778073	SRS16473530	505527
