accession	biosample	secondary_sample	read_count
SRR3152495	SAMN04480653	SRS1279638	621681
SRR3152496	SAMN04480654	SRS1279637	619243
SRR3152497	SAMN04480655	SRS1279635	673025
SRR3152498	SAMN04480656	SRS1279636	725850
SRR3152499	SAMN04480657	SRS1279634	626732
SRR3152500	SAMN04480658	SRS1279633	648383
SRR3152502	SAMN04480660	SRS1279649	675109
SRR3152503	SAMN04480661	SRS1279648	612947
SRR3152504	SAMN04480662	SRS1279647	600203
SRR3152506	SAMN04480664	SRS1279644	519999
SRR3152507	SAMN04480665	SRS1279645	530233
SRR3152508	SAMN04480666	SRS1279643	601794
SRR3152510	SAMN04480668	SRS1279641	657961
SRR3159147	SAMN04482432	SRS1283015	1471470
SRR3159148	SAMN04482433	SRS1283014	949685
SRR3159149	SAMN04482434	SRS1283013	1384593
SRR3159150	SAMN04482435	SRS1283012	950469
SRR3159151	SAMN04482436	SRS1283011	980828
SRR3159152	SAMN04482437	SRS1283034	1088777
SRR3159153	SAMN04482438	SRS1283033	984812
SRR3159154	SAMN04482439	SRS1283032	1198190
SRR3159155	SAMN04482440	SRS1283031	1131584
SRR3159156	SAMN04482441	SRS1283030	1021977
SRR3159157	SAMN04482442	SRS1283026	1283445
SRR3159158	SAMN04482443	SRS1283025	1303290
SRR3159159	SAMN04482444	SRS1283024	1067732
SRR3159160	SAMN04482445	SRS1283023	733037
SRR3159161	SAMN04482446	SRS1283022	840915
SRR3159162	SAMN04482447	SRS1283021	880856
SRR3159163	SAMN04482448	SRS1283020	820759
SRR3159164	SAMN04482449	SRS1283019	555517
SRR3159165	SAMN04482450	SRS1283018	572570
SRR3159166	SAMN04482451	SRS1283017	959538
SRR3159167	SAMN04482452	SRS1283016	994337
SRR3159168	SAMN04482453	SRS1283029	1179000
SRR3159169	SAMN04482454	SRS1283028	1281661
SRR3159170	SAMN04482455	SRS1283027	1371941
SRR3168639	SAMN04456594	SRS1296140	824610
SRR3168640	SAMN04456595	SRS1296139	1050434
SRR3168642	SAMN04456583	SRS1296136	949813
SRR3168648	SAMN04456589	SRS1296147	1031078
SRR3170229	SAMN04485907	SRS1296695	1395901
SRR3170230	SAMN04485908	SRS1296694	1045506
SRR3170231	SAMN04485909	SRS1296693	1834060
SRR3170232	SAMN04485910	SRS1296692	1185982
SRR3170233	SAMN04485911	SRS1296691	1193572
SRR3170234	SAMN04485912	SRS1296690	1028516
SRR3170235	SAMN04485913	SRS1296689	659399
SRR3170236	SAMN04485914	SRS1296688	1083463
SRR3170237	SAMN04485915	SRS1296687	925867
SRR3170238	SAMN04485916	SRS1296686	1184078
SRR3170239	SAMN04485917	SRS1296685	1138761
SRR3170240	SAMN04485918	SRS1296696	1286278
SRR3170241	SAMN04485901	SRS1296698	1481404
SRR3170242	SAMN04485902	SRS1296704	1284456
SRR3170243	SAMN04485903	SRS1296703	1239314
SRR3170244	SAMN04485904	SRS1296702	1118842
SRR3170246	SAMN04485906	SRS1296701	1249054
SRR3170252	SAMN04487133	SRS1296711	1498284
SRR3170253	SAMN04487134	SRS1296710	1443042
SRR3170254	SAMN04487135	SRS1296708	1213386
SRR3170255	SAMN04487136	SRS1296709	1521404
SRR3170256	SAMN04487137	SRS1296707	1427782
SRR3170257	SAMN04487138	SRS1296706	1392384
SRR3170260	SAMN04487141	SRS1296721	1374576
SRR3170261	SAMN04487142	SRS1296720	876011
SRR3170262	SAMN04487143	SRS1296719	874019
SRR3170263	SAMN04487144	SRS1296718	905385
SRR3170264	SAMN04487145	SRS1296717	824308
SRR3170266	SAMN04487147	SRS1296715	863393
SRR3170267	SAMN04487148	SRS1296714	836001
SRR3170268	SAMN04487149	SRS1296713	730412
SRR3170530	SAMN04487132	SRS1296725	1293368
SRR3170587	SAMN04488268	SRS1296797	643484
SRR3170588	SAMN04488269	SRS1296796	742477
SRR3170589	SAMN04488270	SRS1296795	641644
SRR3170590	SAMN04488271	SRS1296794	655667
SRR3170591	SAMN04488272	SRS1296793	615874
SRR3170592	SAMN04488273	SRS1296792	648484
SRR3170593	SAMN04488274	SRS1296791	566796
SRR3170594	SAMN04488275	SRS1296787	702906
SRR3170595	SAMN04488276	SRS1296790	626177
SRR3170596	SAMN04488277	SRS1296789	697389
SRR3170597	SAMN04488278	SRS1296788	745074
SRR3170598	SAMN04488279	SRS1296817	746092
SRR3170599	SAMN04488280	SRS1296816	654572
SRR3170600	SAMN04488281	SRS1296815	716108
SRR3170601	SAMN04488282	SRS1296814	617463
SRR3170602	SAMN04488283	SRS1296813	1028257
SRR3170603	SAMN04488284	SRS1296812	1352600
SRR3170604	SAMN04488285	SRS1296811	1207623
SRR3170605	SAMN04488286	SRS1296810	637144
SRR3170606	SAMN04488287	SRS1296809	642318
SRR3170608	SAMN04488289	SRS1296807	738776
SRR3170609	SAMN04488290	SRS1296821	647818
SRR3170610	SAMN04488291	SRS1296820	685734
SRR3170612	SAMN04488293	SRS1296818	417397
SRR3170733	SAMN04491035	SRS1296923	662634
SRR3170734	SAMN04491036	SRS1296922	686327
SRR3170735	SAMN04491037	SRS1296921	683217
SRR3170736	SAMN04491038	SRS1296920	612807
SRR3170737	SAMN04491039	SRS1296918	586713
SRR3170738	SAMN04491040	SRS1296917	616307
SRR3170739	SAMN04491041	SRS1296916	657027
SRR3170740	SAMN04491042	SRS1296915	725951
SRR3170768	SAMN04491433	SRS1296936	970291
SRR3170769	SAMN04491434	SRS1296961	1135977
SRR3170770	SAMN04491435	SRS1296960	1193753
SRR3170771	SAMN04491436	SRS1296959	1224750
SRR3170772	SAMN04491437	SRS1296958	1125064
SRR3170773	SAMN04491438	SRS1296957	1009267
SRR3170774	SAMN04491439	SRS1296956	1192081
SRR3170775	SAMN04491440	SRS1296955	1085691
SRR3170776	SAMN04491441	SRS1296954	1092356
SRR3170777	SAMN04491442	SRS1296953	1154606
SRR3170778	SAMN04491443	SRS1296952	1162614
SRR3170779	SAMN04491444	SRS1296951	798120
SRR3170780	SAMN04491445	SRS1296950	1038770
SRR3170781	SAMN04491446	SRS1296949	1090844
SRR3170782	SAMN04491447	SRS1296969	1078067
SRR3170783	SAMN04491448	SRS1296968	641284
SRR3170784	SAMN04491449	SRS1296966	1045543
SRR3170785	SAMN04491450	SRS1296967	1013903
SRR3170786	SAMN04491451	SRS1296964	991739
SRR3170787	SAMN04491452	SRS1296965	1184163
SRR3170788	SAMN04491453	SRS1296963	1232436
SRR3170789	SAMN04491454	SRS1296962	1231512
SRR3197175	SAMN04516582	SRS1316882	1399871
SRR3197589	SAMN04525189	SRS1317382	737564
SRR3197590	SAMN04525190	SRS1317381	626912
SRR3197591	SAMN04525191	SRS1317380	630205
SRR3197592	SAMN04525192	SRS1317379	596039
SRR3197593	SAMN04525193	SRS1317393	557630
SRR3197594	SAMN04525194	SRS1317394	560673
SRR3197595	SAMN04525195	SRS1317392	513935
SRR3197596	SAMN04525196	SRS1317391	496726
SRR3197597	SAMN04525197	SRS1317390	495896
SRR3197599	SAMN04525199	SRS1317388	685368
SRR3197600	SAMN04525200	SRS1317386	512471
SRR3197602	SAMN04525201	SRS1317387	591974
SRR3197603	SAMN04525202	SRS1317385	562649
SRR3197604	SAMN04525203	SRS1317384	516381
SRR3197605	SAMN04525204	SRS1317401	526380
SRR3197606	SAMN04525205	SRS1317400	605304
SRR3197607	SAMN04525206	SRS1317399	168279
SRR3197608	SAMN04525207	SRS1317398	572823
SRR3197609	SAMN04525208	SRS1317397	632645
SRR3197610	SAMN04525209	SRS1317396	510229
SRR3216436	SAMN04515401	SRS1333369	1578760
SRR3216437	SAMN04515407	SRS1333368	1362806
SRR3216439	SAMN04544429	SRS1333372	2166777
SRR3216440	SAMN04544430	SRS1333371	1699643
SRR3216441	SAMN04544431	SRS1333373	1830669
SRR3216442	SAMN04544432	SRS1333370	2226110
SRR3217267	SAMN04515391	SRS1334251	1542097
SRR3217268	SAMN04515395	SRS1334250	1854660
SRR3217269	SAMN04515397	SRS1334249	1379794
SRR3217271	SAMN04515399	SRS1334248	1316520
SRR3217272	SAMN04515405	SRS1334247	2168185
SRR3217273	SAMN04515409	SRS1334246	1801652
SRR3217321	SAMN04515390	SRS1334299	1662587
SRR3217322	SAMN04515392	SRS1334298	1288534
SRR3217323	SAMN04515393	SRS1334297	1198765
SRR3217324	SAMN04515394	SRS1334311	1974985
SRR3217325	SAMN04515400	SRS1334310	2119897
SRR3217328	SAMN04515402	SRS1334307	2046665
SRR3217329	SAMN04515403	SRS1334301	1751660
SRR3217330	SAMN04515404	SRS1334306	1920744
SRR3217331	SAMN04515406	SRS1334305	1548671
SRR3217332	SAMN04515408	SRS1334304	1429183
SRR3217387	SAMN04515789	SRS1334364	1540856
SRR3217388	SAMN04515790	SRS1334363	1513811
SRR3217389	SAMN04515791	SRS1334362	1074533
SRR3217390	SAMN04515792	SRS1334360	2069228
SRR3217391	SAMN04515793	SRS1334361	2399761
SRR3217392	SAMN04515794	SRS1334359	2042779
SRR3217394	SAMN04515796	SRS1334358	1776279
SRR3217395	SAMN04515797	SRS1334356	1457753
SRR3217396	SAMN04515798	SRS1334354	1640917
SRR3217397	SAMN04515799	SRS1334355	1703450
SRR3217398	SAMN04515800	SRS1334375	1672153
SRR3217399	SAMN04515801	SRS1334373	1878179
SRR3217400	SAMN04515802	SRS1334372	1783458
SRR3217401	SAMN04515803	SRS1334371	1914405
SRR3217402	SAMN04515804	SRS1334370	1446217
SRR3217403	SAMN04515805	SRS1334369	1312361
SRR3217404	SAMN04515806	SRS1334368	1168758
SRR3217405	SAMN04515807	SRS1334367	1162236
SRR3217406	SAMN04515808	SRS1334366	1225233
SRR3217407	SAMN04515809	SRS1334365	1892599
SRR3218381	SAMN04545389	SRS1335147	1323099
SRR3218382	SAMN04545390	SRS1335146	1393939
SRR3218383	SAMN04545391	SRS1335145	2101541
SRR3218384	SAMN04545392	SRS1335144	1752526
SRR3218385	SAMN04545393	SRS1335143	1210029
SRR3218386	SAMN04545394	SRS1335142	1756694
SRR3218387	SAMN04545395	SRS1335141	1997658
SRR3218388	SAMN04545396	SRS1335140	1505898
SRR3218389	SAMN04545397	SRS1335139	1888394
SRR3218390	SAMN04545398	SRS1335137	1292140
SRR3218391	SAMN04545399	SRS1335138	1168155
SRR3218392	SAMN04545400	SRS1335158	1244099
SRR3218393	SAMN04545401	SRS1335157	2068843
SRR3218394	SAMN04545402	SRS1335148	1892854
SRR3218395	SAMN04545403	SRS1335156	1523584
SRR3218396	SAMN04545404	SRS1335154	1809568
SRR3218397	SAMN04545405	SRS1335155	1678446
SRR3218398	SAMN04545406	SRS1335153	1530029
SRR3218399	SAMN04545407	SRS1335152	1760425
SRR3218400	SAMN04545408	SRS1335151	1568423
SRR3218401	SAMN04545409	SRS1335150	1459385
SRR3218402	SAMN04545410	SRS1335149	1498384
SRR3222484	SAMN04546716	SRS1336867	1453442
SRR3222485	SAMN04546717	SRS1336866	1353922
SRR3222486	SAMN04546718	SRS1336865	1436514
SRR3222487	SAMN04546719	SRS1336864	1554395
SRR3222488	SAMN04546720	SRS1336863	1772654
SRR3222489	SAMN04546721	SRS1336862	1830647
SRR3222490	SAMN04546722	SRS1336860	1715711
SRR3222491	SAMN04546723	SRS1336861	1323621
SRR3222492	SAMN04546724	SRS1336877	2127737
SRR3222493	SAMN04546725	SRS1336869	2024894
SRR3222494	SAMN04546726	SRS1336876	1974159
SRR3222495	SAMN04546727	SRS1336875	1527266
SRR3222496	SAMN04546728	SRS1336874	1333801
SRR3222497	SAMN04546729	SRS1336873	1485567
SRR3222498	SAMN04546730	SRS1336872	1758955
SRR3222499	SAMN04546731	SRS1336871	2019483
SRR3223161	SAMN04547088	SRS1337508	1437125
SRR3223162	SAMN04547089	SRS1337507	1788215
SRR3223163	SAMN04547090	SRS1337506	1454004
SRR3223164	SAMN04547091	SRS1337492	2396422
SRR3223165	SAMN04547092	SRS1337491	1880087
SRR3223166	SAMN04547093	SRS1337490	1126239
SRR3223167	SAMN04547094	SRS1337489	1248501
SRR3223168	SAMN04547095	SRS1337493	1755599
SRR3223169	SAMN04547096	SRS1337496	1667664
SRR3223170	SAMN04547097	SRS1337495	1757653
SRR3223171	SAMN04547098	SRS1337494	1434909
SRR3223172	SAMN04547099	SRS1337500	1503675
SRR3223173	SAMN04547100	SRS1337499	1934160
SRR3223174	SAMN04547101	SRS1337498	1944280
SRR3223175	SAMN04547102	SRS1337497	1854110
SRR3223176	SAMN04547103	SRS1337502	1546858
SRR3223177	SAMN04547104	SRS1337503	1607748
SRR3223178	SAMN04547105	SRS1337501	1685351
SRR3223179	SAMN04547106	SRS1337504	1496118
SRR3223180	SAMN04547107	SRS1337505	1416652
SRR3223465	SAMN04549255	SRS1337609	1798842
SRR3223466	SAMN04549256	SRS1337608	1590214
SRR3223467	SAMN04549257	SRS1337607	1602628
SRR3223469	SAMN04549259	SRS1337605	1892584
SRR3223470	SAMN04549260	SRS1337604	1192414
SRR3223471	SAMN04549261	SRS1337603	1649677
SRR3223472	SAMN04549262	SRS1337601	1553626
SRR3223473	SAMN04549263	SRS1337610	1939963
SRR3223474	SAMN04549264	SRS1337602	2472112
SRR3223476	SAMN04549266	SRS1337620	1919263
SRR3223478	SAMN04549268	SRS1337618	2028419
SRR3223479	SAMN04549269	SRS1337617	1733293
SRR3223480	SAMN04549270	SRS1337616	1346493
SRR3223481	SAMN04549271	SRS1337615	1673791
SRR3223482	SAMN04549272	SRS1337614	1727944
SRR3223483	SAMN04549273	SRS1337613	1514962
SRR3223484	SAMN04549274	SRS1337612	1431726
SRR3223485	SAMN04549275	SRS1337611	1756195
SRR3223550	SAMN04549300	SRS1337669	1551030
SRR3223552	SAMN04549302	SRS1337668	2127369
SRR3223553	SAMN04549303	SRS1337671	1993310
SRR3223554	SAMN04549304	SRS1337667	1691449
SRR3223555	SAMN04549305	SRS1337666	1805800
SRR3223556	SAMN04549306	SRS1337665	2079340
SRR3223557	SAMN04549307	SRS1337663	1724788
SRR3223558	SAMN04549308	SRS1337661	1493343
SRR3223560	SAMN04549310	SRS1337664	2537229
SRR3223561	SAMN04549311	SRS1337662	1625956
SRR3223562	SAMN04549312	SRS1337678	1819161
SRR3223563	SAMN04549313	SRS1337676	1522361
SRR3223564	SAMN04549314	SRS1337674	1622068
SRR3223565	SAMN04549315	SRS1337673	1871868
SRR3223566	SAMN04549316	SRS1337672	1693248
SRR3223567	SAMN04549317	SRS1337677	1498701
SRR3223568	SAMN04549318	SRS1337675	1600541
SRR3223910	SAMN04549497	SRS1337901	1662612
SRR3223911	SAMN04549498	SRS1337900	1707524
SRR3223912	SAMN04549499	SRS1337899	1474054
SRR3223913	SAMN04549500	SRS1337898	2269448
SRR3223914	SAMN04549501	SRS1337897	1910158
SRR3223915	SAMN04549502	SRS1337896	931507
SRR3223916	SAMN04549503	SRS1337893	1910506
SRR3223917	SAMN04549504	SRS1337895	1810986
SRR3223918	SAMN04549505	SRS1337894	1508588
SRR3223919	SAMN04549506	SRS1337892	1736304
SRR3223920	SAMN04549507	SRS1337910	1700393
SRR3223921	SAMN04549508	SRS1337909	1948972
SRR3223922	SAMN04549509	SRS1337908	1973841
SRR3223923	SAMN04549510	SRS1337911	1956393
SRR3223924	SAMN04549511	SRS1337907	1993936
SRR3223925	SAMN04549512	SRS1337905	1588100
SRR3223926	SAMN04549513	SRS1337904	1597539
SRR3223927	SAMN04549514	SRS1337906	1537755
SRR3223928	SAMN04549515	SRS1337903	1407394
SRR3223929	SAMN04549516	SRS1337902	1534286
SRR3224227	SAMN04549546	SRS1338136	1661024
SRR3224228	SAMN04549547	SRS1338135	1609817
SRR3224230	SAMN04549549	SRS1338133	1201961
SRR3224231	SAMN04549550	SRS1338132	1788664
SRR3224232	SAMN04549551	SRS1338131	1489769
SRR3224233	SAMN04549552	SRS1338130	1767261
SRR3224234	SAMN04549553	SRS1338128	1636556
SRR3224235	SAMN04549554	SRS1338129	1549098
SRR3224236	SAMN04549555	SRS1338127	1587020
SRR3224237	SAMN04549556	SRS1338145	2426341
SRR3224238	SAMN04549557	SRS1338144	2004458
SRR3224239	SAMN04549558	SRS1338143	1517673
SRR3224240	SAMN04549559	SRS1338142	1660051
SRR3224241	SAMN04549560	SRS1338141	1567497
SRR3224242	SAMN04549561	SRS1338140	1676977
SRR3224243	SAMN04549562	SRS1338139	1502700
SRR3224244	SAMN04549563	SRS1338138	1849818
SRR3224793	SAMN04549824	SRS1338333	1750168
SRR3224794	SAMN04549825	SRS1338332	1758817
SRR3224795	SAMN04549826	SRS1338331	1738998
SRR3224796	SAMN04549827	SRS1338330	2062564
SRR3224797	SAMN04549828	SRS1338329	2328384
SRR3224798	SAMN04549829	SRS1338328	1573056
SRR3224799	SAMN04549830	SRS1338327	1555218
SRR3224800	SAMN04549831	SRS1338326	1287728
SRR3224801	SAMN04549832	SRS1338325	1988527
SRR3224802	SAMN04549833	SRS1338324	1715380
SRR3224803	SAMN04549834	SRS1338323	2086502
SRR3224804	SAMN04549835	SRS1338322	1420538
SRR3224805	SAMN04549837	SRS1338321	1641425
SRR3224806	SAMN04549838	SRS1338320	1977846
SRR3224807	SAMN04549839	SRS1338319	1603798
SRR3224808	SAMN04549840	SRS1338318	1294839
SRR3224809	SAMN04549841	SRS1338317	1733014
SRR3224810	SAMN04549842	SRS1338316	1515680
SRR3224811	SAMN04549843	SRS1338315	1559817
SRR3224812	SAMN04549844	SRS1338314	1785314
SRR3224982	SAMN04549865	SRS1338492	1696298
SRR3224984	SAMN04549866	SRS1338491	1588754
SRR3224985	SAMN04549867	SRS1338490	1755742
SRR3224986	SAMN04549868	SRS1338489	1592484
SRR3224987	SAMN04549869	SRS1338488	1783321
SRR3224988	SAMN04549870	SRS1338487	1481922
SRR3224989	SAMN04549871	SRS1338477	1791877
SRR3224990	SAMN04549872	SRS1338476	1097389
SRR3224991	SAMN04549873	SRS1338475	1271204
SRR3224992	SAMN04549874	SRS1338474	2097049
SRR3224993	SAMN04549875	SRS1338473	1429779
SRR3224994	SAMN04549876	SRS1338472	1820682
SRR3224995	SAMN04549877	SRS1338486	2266404
SRR3224996	SAMN04549878	SRS1338485	1825687
SRR3224997	SAMN04549879	SRS1338484	1846491
SRR3224998	SAMN04549880	SRS1338483	1927027
SRR3224999	SAMN04549881	SRS1338482	1550810
SRR3225001	SAMN04549883	SRS1338481	1608241
SRR3225002	SAMN04549884	SRS1338480	1566848
SRR3225003	SAMN04549885	SRS1338479	1735287
SRR3225041	SAMN04550075	SRS1338528	1797850
SRR3225042	SAMN04550076	SRS1338529	1601859
SRR3225043	SAMN04550077	SRS1338513	1597738
SRR3225044	SAMN04550078	SRS1338512	1818930
SRR3225045	SAMN04550079	SRS1338518	2134500
SRR3225046	SAMN04550080	SRS1338511	2127082
SRR3225047	SAMN04550081	SRS1338510	1520435
SRR3225048	SAMN04550082	SRS1338509	1794701
SRR3225049	SAMN04550083	SRS1338514	1526362
SRR3225050	SAMN04550084	SRS1338508	1871720
SRR3225051	SAMN04550085	SRS1338507	1202776
SRR3225052	SAMN04550086	SRS1338526	1815989
SRR3225053	SAMN04550087	SRS1338524	1297528
SRR3225054	SAMN04550088	SRS1338523	1748724
SRR3225055	SAMN04550089	SRS1338522	1717666
SRR3225056	SAMN04550090	SRS1338521	1517458
SRR3225057	SAMN04550091	SRS1338520	1779701
SRR3225058	SAMN04550092	SRS1338519	1789635
SRR3225059	SAMN04550093	SRS1338525	1601423
SRR3225060	SAMN04550094	SRS1338516	1381737
SRR3225061	SAMN04550095	SRS1338515	1729685
SRR3225230	SAMN04550105	SRS1338633	1848688
SRR3225231	SAMN04550106	SRS1338632	1761240
SRR3225232	SAMN04550107	SRS1338631	1749584
SRR3225233	SAMN04550108	SRS1338630	1769346
SRR3225234	SAMN04550109	SRS1338629	2390996
SRR3225235	SAMN04550110	SRS1338628	2256676
SRR3225236	SAMN04550111	SRS1338627	1680253
SRR3225237	SAMN04550112	SRS1338616	2048549
SRR3225238	SAMN04550113	SRS1338626	1611499
SRR3225240	SAMN04550114	SRS1338625	2009994
SRR3225241	SAMN04550115	SRS1338617	1600379
SRR3225242	SAMN04550116	SRS1338624	1709403
SRR3225243	SAMN04550117	SRS1338623	1491324
SRR3225244	SAMN04550118	SRS1338622	1602839
SRR3225245	SAMN04550119	SRS1338621	1766631
SRR3225246	SAMN04550120	SRS1338618	1686458
SRR3225248	SAMN04550122	SRS1338619	1985175
SRR3225249	SAMN04550123	SRS1338635	1418408
SRR3225250	SAMN04550124	SRS1338634	1788596
SRR3226988	SAMN04555174	SRS1339073	1680449
SRR3226989	SAMN04555175	SRS1339072	1634865
SRR3226990	SAMN04555176	SRS1339071	1496267
SRR3226991	SAMN04555177	SRS1339070	2110850
SRR3226992	SAMN04555178	SRS1339069	2182426
SRR3226993	SAMN04555179	SRS1339068	1227143
SRR3226994	SAMN04555180	SRS1339082	1411718
SRR3226995	SAMN04555181	SRS1339083	2030428
SRR3226996	SAMN04555182	SRS1339081	2065112
SRR3226997	SAMN04555183	SRS1339080	1850923
SRR3226998	SAMN04555184	SRS1339079	1949338
SRR3226999	SAMN04555185	SRS1339078	2058011
SRR3227001	SAMN04555187	SRS1339076	1845573
SRR3227002	SAMN04555188	SRS1339075	1493783
SRR3227003	SAMN04555189	SRS1339090	1461755
SRR3227004	SAMN04555190	SRS1339085	1521729
SRR3227005	SAMN04555191	SRS1339089	1793098
SRR3227006	SAMN04555192	SRS1339088	2095869
SRR3227007	SAMN04555193	SRS1339084	1746689
SRR3227008	SAMN04555194	SRS1339087	1956188
SRR3227009	SAMN04555195	SRS1339086	1235438
SRR3227010	SAMN04555196	SRS1339131	1325214
SRR3227011	SAMN04555197	SRS1339130	1997149
SRR3227012	SAMN04555198	SRS1339129	2487450
SRR3227013	SAMN04555199	SRS1339102	1823173
SRR3227014	SAMN04555200	SRS1339101	1524840
SRR3227015	SAMN04555201	SRS1339103	1890633
SRR3227016	SAMN04555202	SRS1339099	1966134
SRR3227017	SAMN04555203	SRS1339098	1763405
SRR3227018	SAMN04555204	SRS1339097	1970610
SRR3227019	SAMN04555205	SRS1339100	1726748
SRR3227020	SAMN04555206	SRS1339095	1855889
SRR3227021	SAMN04555207	SRS1339094	1642060
SRR3227022	SAMN04555208	SRS1339096	1214296
SRR3227023	SAMN04555209	SRS1339093	1375747
SRR3227024	SAMN04555210	SRS1339092	1541971
SRR3227025	SAMN04555211	SRS1339091	1339959
SRR3227026	SAMN04555212	SRS1339105	1676036
SRR3227027	SAMN04555213	SRS1339104	2378183
SRR3227028	SAMN04555214	SRS1339124	1387951
SRR3227029	SAMN04555215	SRS1339123	1403119
SRR3227030	SAMN04555216	SRS1339122	1318794
SRR3227031	SAMN04555217	SRS1339121	1281355
SRR3227032	SAMN04555218	SRS1339120	2609328
SRR3227033	SAMN04555219	SRS1339108	2180260
SRR3227034	SAMN04555220	SRS1339107	2386341
SRR3227035	SAMN04555221	SRS1339106	1406037
SRR3227036	SAMN04555222	SRS1339119	1852787
SRR3227037	SAMN04555223	SRS1339118	1570079
SRR3227038	SAMN04555224	SRS1339109	1660340
SRR3227039	SAMN04555225	SRS1339117	2000290
SRR3227040	SAMN04555226	SRS1339116	2061500
SRR3227041	SAMN04555227	SRS1339115	1848343
SRR3227042	SAMN04555228	SRS1339114	1931280
SRR3227043	SAMN04555229	SRS1339113	1628843
SRR3227044	SAMN04555230	SRS1339112	1365005
SRR3227045	SAMN04555231	SRS1339111	1087434
SRR3227046	SAMN04555232	SRS1339110	1308574
SRR3227047	SAMN04555233	SRS1339127	1476498
SRR3227048	SAMN04555234	SRS1339126	2292405
SRR3228473	SAMN04555289	SRS1340454	1554615
SRR3228474	SAMN04555290	SRS1340453	1185129
SRR3228475	SAMN04555291	SRS1340452	1215496
SRR3228476	SAMN04555292	SRS1340451	1367477
SRR3228477	SAMN04555293	SRS1340450	2063741
SRR3228478	SAMN04555294	SRS1340448	1809720
SRR3228479	SAMN04555295	SRS1340449	2395557
SRR3228480	SAMN04555296	SRS1340447	1601589
SRR3228481	SAMN04555297	SRS1340446	1376160
SRR3228482	SAMN04555298	SRS1340445	1850777
SRR3228483	SAMN04555299	SRS1340444	1825752
SRR3228488	SAMN04555300	SRS1340435	1914203
SRR3228489	SAMN04555301	SRS1340434	2337423
SRR3228490	SAMN04555302	SRS1340433	2025312
SRR3228491	SAMN04555303	SRS1340443	1800012
SRR3228492	SAMN04555304	SRS1340442	1725979
SRR3228493	SAMN04555305	SRS1340441	1473604
SRR3228494	SAMN04555306	SRS1340440	1488320
SRR3228495	SAMN04555307	SRS1340439	1488225
SRR3228496	SAMN04555308	SRS1340438	1454509
SRR3228497	SAMN04555309	SRS1340437	2035791
SRR3228498	SAMN04555310	SRS1340436	2164647
SRR3228533	SAMN04555479	SRS1340557	1378858
SRR3228534	SAMN04555480	SRS1340559	1686281
SRR3228535	SAMN04555481	SRS1340558	1294875
SRR3228536	SAMN04555482	SRS1340582	2237326
SRR3228537	SAMN04555483	SRS1340581	1914732
SRR3228538	SAMN04555484	SRS1340580	2188857
SRR3228539	SAMN04555485	SRS1340570	1613591
SRR3228540	SAMN04555486	SRS1340569	1858477
SRR3228541	SAMN04555487	SRS1340568	1914692
SRR3228542	SAMN04555488	SRS1340567	1743821
SRR3228543	SAMN04555489	SRS1340566	1764454
SRR3228544	SAMN04555490	SRS1340565	1706747
SRR3228545	SAMN04555491	SRS1340564	1904569
SRR3228546	SAMN04555492	SRS1340563	1724855
SRR3228547	SAMN04555493	SRS1340579	2090310
SRR3228548	SAMN04555494	SRS1340578	1947746
SRR3228549	SAMN04555495	SRS1340577	1465639
SRR3228550	SAMN04555496	SRS1340576	1356556
SRR3228551	SAMN04555497	SRS1340575	1274835
SRR3228552	SAMN04555498	SRS1340574	1467997
SRR3228553	SAMN04555499	SRS1340573	1884438
SRR3228554	SAMN04555500	SRS1340572	1501217
SRR3228555	SAMN04555501	SRS1340571	1741537
SRR3228556	SAMN04555502	SRS1340597	1523185
SRR3228557	SAMN04555503	SRS1340596	1572586
SRR3228558	SAMN04555504	SRS1340595	1507904
SRR3228559	SAMN04555505	SRS1340594	1935823
SRR3228560	SAMN04555506	SRS1340593	2548407
SRR3228561	SAMN04555507	SRS1340592	1761580
SRR3228562	SAMN04555508	SRS1340591	1984104
SRR3228563	SAMN04555509	SRS1340585	1772342
SRR3228564	SAMN04555510	SRS1340584	1936555
SRR3228565	SAMN04555511	SRS1340583	1735889
SRR3228566	SAMN04555512	SRS1340590	1827139
SRR3228567	SAMN04555513	SRS1340589	1825818
SRR3228568	SAMN04555514	SRS1340588	1612241
SRR3228569	SAMN04555515	SRS1340587	1511934
SRR3228570	SAMN04555516	SRS1340586	1475576
SRR3228571	SAMN04555517	SRS1340602	1388542
SRR3228572	SAMN04555518	SRS1340601	1326578
SRR3228573	SAMN04555519	SRS1340600	1464651
SRR3228574	SAMN04555520	SRS1340599	1765404
SRR3228575	SAMN04555521	SRS1340598	2547235
SRR3242011	SAMN04014904	SRS1350009	1307722
SRR3242016	SAMN04014919	SRS1350014	1664416
SRR3242017	SAMN04014924	SRS1350013	1543872
SRR3242022	SAMN04014929	SRS1350011	1499136
SRR3242026	SAMN04014942	SRS1350030	1499390
SRR3242027	SAMN04014943	SRS1350029	889142
SRR3242033	SAMN04568502	SRS1350035	1627918
SRR3242034	SAMN04568503	SRS1350034	1673485
SRR3242035	SAMN04568504	SRS1350049	1287795
SRR3242036	SAMN04568505	SRS1350048	2259412
SRR3242037	SAMN04568506	SRS1350047	2083919
SRR3242038	SAMN04568507	SRS1350046	1757510
SRR3242039	SAMN04568508	SRS1350045	1764500
SRR3242040	SAMN04568509	SRS1350044	1704370
SRR3242041	SAMN04568510	SRS1350043	1739651
SRR3242042	SAMN04568511	SRS1350042	1573369
